formation_date,universe,n_stocks,r2_cut_rq2,r2_cut_rq3,r2_cut_rq4,r2_cut_rq5,slope_cut_rq1_sq2,slope_cut_rq1_sq3,slope_cut_rq1_sq4,slope_cut_rq1_sq5,slope_cut_rq2_sq2,slope_cut_rq2_sq3,slope_cut_rq2_sq4,slope_cut_rq2_sq5,slope_cut_rq3_sq2,slope_cut_rq3_sq3,slope_cut_rq3_sq4,slope_cut_rq3_sq5,slope_cut_rq4_sq2,slope_cut_rq4_sq3,slope_cut_rq4_sq4,slope_cut_rq4_sq5,slope_cut_rq5_sq2,slope_cut_rq5_sq3,slope_cut_rq5_sq4,slope_cut_rq5_sq5
1963-07-02,full,1610,0.28874778,0.61040181,0.75740426,0.85472031,-0.00022495,0.00004915,0.00027143,0.00045245,0.00052040,0.00072067,0.00091234,0.00114624,0.00086409,0.00106099,0.00132646,0.00165280,0.00106289,0.00130436,0.00159051,0.00204639,0.00141131,0.00171162,0.00204751,0.00252798
1963-08-01,full,1608,0.30697313,0.60143667,0.75280033,0.85035957,-0.00021427,0.00007318,0.00024623,0.00044007,0.00045998,0.00069434,0.00088246,0.00112580,0.00080311,0.00104980,0.00125114,0.00163987,0.00103254,0.00135116,0.00159002,0.00201127,0.00141728,0.00175198,0.00211519,0.00265733
1963-08-30,full,1608,0.31429207,0.60822401,0.75219003,0.85127764,-0.00018717,0.00007565,0.00023386,0.00042709,0.00047351,0.00067943,0.00086423,0.00111029,0.00080374,0.00103498,0.00123249,0.00156260,0.00112196,0.00138590,0.00166934,0.00218695,0.00143156,0.00173124,0.00214206,0.00268058
1963-10-01,full,1604,0.28621947,0.59468263,0.74700465,0.85373818,-0.00019225,0.00006262,0.00024039,0.00042119,0.00047524,0.00065547,0.00082653,0.00104749,0.00075208,0.00100098,0.00122279,0.00159071,0.00108345,0.00137371,0.00161428,0.00205217,0.00146221,0.00179516,0.00219381,0.00290364
1963-10-30,full,1604,0.21758199,0.53724618,0.71475827,0.83806916,-0.00018056,0.00004060,0.00016118,0.00030985,0.00024974,0.00047465,0.00061759,0.00080867,0.00057619,0.00078340,0.00101754,0.00138155,0.00091280,0.00111696,0.00134403,0.00176559,0.00131498,0.00166207,0.00208562,0.00292708
1963-12-03,full,1596,0.16643753,0.45425869,0.66515522,0.80715932,-0.00015837,-0.00001277,0.00008796,0.00022041,-0.00029620,0.00030132,0.00046381,0.00068743,0.00032258,0.00060259,0.00080082,0.00105420,0.00070881,0.00095868,0.00120322,0.00163562,0.00105097,0.00145580,0.00187390,0.00271784
1964-01-03,full,1584,0.14723690,0.40229330,0.61991941,0.78135086,-0.00010470,-0.00000494,0.00007588,0.00017629,-0.00039183,0.00021561,0.00037021,0.00055272,-0.00036160,0.00051658,0.00073137,0.00097736,0.00044586,0.00077227,0.00099707,0.00140484,0.00096552,0.00136005,0.00181114,0.00268536
1964-02-03,full,1598,0.11693949,0.38883542,0.60149820,0.77118413,-0.00012031,-0.00002726,0.00007540,0.00017196,-0.00035499,0.00020997,0.00034247,0.00048402,-0.00052346,0.00045359,0.00066736,0.00098174,0.00029461,0.00075470,0.00099743,0.00149396,0.00086961,0.00128121,0.00168924,0.00256173
1964-03-04,full,1610,0.10808033,0.34990792,0.57674857,0.76548015,-0.00013322,-0.00002273,0.00006496,0.00015624,-0.00033756,0.00015174,0.00031729,0.00049243,-0.00045219,0.00042201,0.00062844,0.00097916,0.00033412,0.00073066,0.00099905,0.00141904,0.00090113,0.00126333,0.00173460,0.00248563
1964-04-03,full,1617,0.10281278,0.32792118,0.56006967,0.76145360,-0.00011672,-0.00001823,0.00006581,0.00014985,-0.00031832,0.00018374,0.00031904,0.00048505,-0.00042853,0.00043651,0.00064774,0.00095753,-0.00056189,0.00068189,0.00092307,0.00132310,0.00088977,0.00128733,0.00174075,0.00251818
