formation_date,universe,rq,sq,n_stocks,mean_r2,mean_slope,median_slope,mean_mcap_musd,median_mcap_musd
1963-07-02,full,1,1,65,0.142160,-0.000451,-0.000393,33.676389,8.343000
1963-07-02,full,1,2,64,0.024590,-0.000088,-0.000084,70.201066,19.397065
1963-07-02,full,1,3,65,0.058131,0.000162,0.000164,113.907894,25.187630
1963-07-02,full,1,4,64,0.145936,0.000351,0.000347,81.966647,24.634250
1963-07-02,full,1,5,64,0.220900,0.000661,0.000603,60.944708,21.106250
1963-07-02,full,2,1,65,0.427839,-0.000511,-0.000682,62.346166,18.821250
1963-07-02,full,2,2,64,0.433011,0.000616,0.000607,178.658544,43.324440
1963-07-02,full,2,3,65,0.477012,0.000810,0.000813,133.615917,56.093130
1963-07-02,full,2,4,64,0.500507,0.001020,0.001019,86.207748,42.228940
1963-07-02,full,2,5,64,0.523794,0.001495,0.001371,57.979472,17.325065
1963-07-02,full,3,1,65,0.677592,0.000172,0.000664,157.147283,27.636000
1963-07-02,full,3,2,64,0.680076,0.000968,0.000969,269.957477,46.569375
1963-07-02,full,3,3,65,0.687824,0.001201,0.001204,207.069181,66.276500
1963-07-02,full,3,4,64,0.701425,0.001476,0.001467,99.012158,35.101875
1963-07-02,full,3,5,64,0.699303,0.002152,0.001988,48.118897,19.608125
1963-07-02,full,4,1,65,0.803379,0.000526,0.000926,797.813543,123.864000
1963-07-02,full,4,2,64,0.807660,0.001176,0.001170,673.631663,99.616625
1963-07-02,full,4,3,65,0.809289,0.001437,0.001426,203.933179,78.780000
1963-07-02,full,4,4,64,0.819553,0.001781,0.001768,234.495050,77.635375
1963-07-02,full,4,5,64,0.813736,0.002666,0.002495,67.775169,29.940250
1963-07-02,full,5,1,65,0.882213,0.000881,0.001185,535.328597,159.985000
1963-07-02,full,5,2,64,0.896694,0.001555,0.001562,829.036750,171.449565
1963-07-02,full,5,3,65,0.902717,0.001874,0.001868,742.651841,223.976500
1963-07-02,full,5,4,64,0.903799,0.002293,0.002300,183.976372,95.565000
1963-07-02,full,5,5,64,0.906965,0.003333,0.003142,105.249548,40.272250
1963-08-01,full,1,1,65,0.139237,-0.000396,-0.000337,37.780993,11.800000
1963-08-01,full,1,2,64,0.014730,-0.000063,-0.000059,45.947595,12.687190
1963-08-01,full,1,3,65,0.050413,0.000161,0.000157,107.754697,27.325130
1963-08-01,full,1,4,64,0.159415,0.000343,0.000349,111.930635,28.799125
1963-08-01,full,1,5,64,0.224176,0.000649,0.000593,85.589176,24.905565
1963-08-01,full,2,1,65,0.447871,-0.000685,-0.000759,64.357625,15.413130
1963-08-01,full,2,2,64,0.455768,0.000591,0.000605,151.409952,47.589190
1963-08-01,full,2,3,65,0.479927,0.000788,0.000781,117.811917,31.437000
1963-08-01,full,2,4,64,0.509563,0.000995,0.000982,86.522860,35.734750
1963-08-01,full,2,5,64,0.523915,0.001531,0.001317,58.254262,15.921750
1963-08-01,full,3,1,65,0.674663,0.000180,0.000641,179.632962,42.071250
1963-08-01,full,3,2,64,0.679690,0.000935,0.000945,499.516037,111.191500
1963-08-01,full,3,3,64,0.690641,0.001151,0.001148,362.633883,77.353875
1963-08-01,full,3,4,64,0.694310,0.001421,0.001390,161.628969,38.556375
1963-08-01,full,3,5,64,0.699145,0.002053,0.001917,39.693803,18.755875
1963-08-01,full,4,1,65,0.796855,0.000532,0.000900,823.034400,97.902000
1963-08-01,full,4,2,64,0.799688,0.001204,0.001196,559.464672,95.106625
1963-08-01,full,4,3,65,0.797272,0.001455,0.001448,224.201095,72.548750
1963-08-01,full,4,4,64,0.803108,0.001775,0.001743,147.783141,54.838690
1963-08-01,full,4,5,64,0.805802,0.002687,0.002469,70.582374,24.108250
1963-08-01,full,5,1,65,0.881638,0.000789,0.001180,380.619723,71.130000
1963-08-01,full,5,2,64,0.893599,0.001574,0.001571,722.955936,196.782500
1963-08-01,full,5,3,64,0.905807,0.001923,0.001916,717.159801,193.830750
1963-08-01,full,5,4,64,0.902219,0.002356,0.002333,174.458104,80.767500
1963-08-01,full,5,5,64,0.898370,0.003432,0.003170,91.593293,36.857875
1963-08-30,full,1,1,65,0.152887,-0.000408,-0.000348,41.003783,13.489000
1963-08-30,full,1,2,64,0.015007,-0.000050,-0.000052,73.483094,13.587875
1963-08-30,full,1,3,65,0.057009,0.000154,0.000154,100.782412,28.591500
1963-08-30,full,1,4,64,0.147634,0.000333,0.000336,93.452020,30.415000
1963-08-30,full,1,5,64,0.212320,0.000598,0.000533,65.687013,23.887315
1963-08-30,full,2,1,65,0.464046,-0.000642,-0.000792,66.599496,15.708000
1963-08-30,full,2,2,64,0.446042,0.000579,0.000587,159.885662,50.848125
1963-08-30,full,2,3,65,0.462795,0.000764,0.000752,228.619274,36.974000
1963-08-30,full,2,4,64,0.506055,0.000972,0.000957,131.508776,46.860375
1963-08-30,full,2,5,64,0.532906,0.001431,0.001350,51.875550,17.581250
1963-08-30,full,3,1,65,0.677076,0.000209,0.000634,719.861754,69.793500
1963-08-30,full,3,2,64,0.675698,0.000923,0.000923,767.880500,126.960125
1963-08-30,full,3,3,64,0.679720,0.001136,0.001135,286.472705,81.653375
1963-08-30,full,3,4,64,0.686002,0.001376,0.001350,161.324723,52.721000
1963-08-30,full,3,5,64,0.701909,0.002203,0.001944,60.527397,18.320625
1963-08-30,full,4,1,65,0.797563,0.000558,0.000926,272.615699,84.079880
