date,factor_TS,factor_PRET,factor_R2
1969-03-13,0.00424664,-0.00123794,-0.00092899
1969-03-14,0.00022382,0.00174367,-0.00151948
1969-03-17,-0.00259610,0.00018477,0.00085222
1969-03-18,0.00543399,0.00146896,0.00210701
1969-03-19,0.00231550,-0.00107150,-0.00068720
1969-03-20,0.00166620,-0.00181931,0.00126589
1969-03-21,0.00195484,0.00155335,0.00120564
1969-03-24,0.00012261,0.00024902,0.00022376
1969-03-25,0.00375876,-0.00093384,0.00142217
1969-03-26,0.00879868,0.00033884,0.00182240
1969-03-27,0.00313664,0.00149099,0.00089429
1969-03-28,0.00201872,-0.00029151,0.00072904
1969-04-01,0.00117265,0.00102782,0.00002058
1969-04-02,0.00100965,0.00149324,0.00110128
1969-04-03,-0.00080589,0.00014291,-0.00088388
1969-04-07,-0.00449203,-0.00037025,-0.00116502
1969-04-08,0.00737726,-0.00044456,-0.00059374
1969-04-09,0.00452563,-0.00158835,0.00091291
1969-04-10,0.00252889,0.00101955,0.00139379
1969-04-11,0.00320822,0.00153008,-0.00025276
1969-04-14,-0.00255140,0.00080648,-0.00152030
1969-04-15,-0.00280493,-0.00133917,0.00158949
1969-04-16,-0.00454786,-0.00674089,0.00214185
1969-04-17,0.00110785,0.00016391,0.00037437
1969-04-18,0.00090993,0.00000264,-0.00102731
1969-04-21,-0.00278881,-0.00516774,0.00280757
1969-04-22,0.00241197,0.00730873,0.00194614
1969-04-23,0.00200969,0.00443742,-0.00024344
1969-04-24,-0.00031421,0.00329936,-0.00084095
1969-04-25,0.00044208,-0.00097625,-0.00163086
1969-04-28,0.00145513,0.00482285,-0.00059646
1969-04-29,0.00133556,0.01005376,-0.00011170
1969-04-30,0.00371978,0.00494830,-0.00195338
1969-05-01,0.00248865,0.00175485,0.00033958
1969-05-02,0.00147805,0.00110677,-0.00175124
1969-05-05,0.00141236,0.00588089,-0.00068349
1969-05-06,0.00373389,0.00243167,0.00039888
1969-05-07,0.00088583,-0.00287453,0.00243877
1969-05-08,-0.00299396,-0.00147865,-0.00226879
1969-05-09,0.00535661,-0.00036241,0.00069017
1969-05-12,0.00265397,-0.00017060,0.00224686
1969-05-13,0.00378326,0.00520653,0.00005218
1969-05-14,0.00070275,-0.00096397,-0.00064695
1969-05-15,0.00206478,-0.00090514,0.00135618
1969-05-16,-0.00150248,-0.00138181,0.00045221
1969-05-19,-0.00042567,-0.00156719,0.00212414
1969-05-20,0.00043545,0.00160325,0.00191135
1969-05-21,0.00668172,0.00535462,-0.00114074
1969-05-22,0.00399410,0.00063205,0.00022874
1969-05-23,-0.00519696,-0.00111152,-0.00008113
1969-05-26,0.00040047,0.00018887,0.00036617
1969-05-27,-0.00010064,0.00003267,0.00478840
1969-05-28,0.00411346,0.00395030,-0.00082466
1969-05-29,0.00302452,0.00181440,-0.00261000
1969-06-02,-0.00180278,0.00163279,0.00212935
1969-06-03,0.00009507,-0.00074060,0.00231232
1969-06-04,-0.00216452,0.00029493,-0.00038341
1969-06-05,-0.00264068,-0.00071447,0.00085635
1969-06-06,-0.00572107,-0.00220580,0.00323086
1969-06-09,-0.00124792,0.00077605,0.00445284
1969-06-10,-0.00003372,0.00158973,0.00315303
1969-06-11,0.00293727,0.00128230,0.00465829
1969-06-12,-0.00414320,-0.00314947,0.00567133
1969-06-13,0.00229678,-0.00019788,-0.00275495
1969-06-16,-0.00645275,0.00187404,0.00451185
1969-06-17,-0.00343618,0.00168125,0.00288264
1969-06-18,-0.00236333,0.00139472,0.00221682
1969-06-19,-0.00129960,0.00187188,0.00642697
1969-06-20,-0.00366519,-0.00087100,0.00559250
1969-06-23,0.00276399,0.00639237,0.00426808
1969-06-24,-0.00310424,-0.00154614,-0.00372647
1969-06-25,-0.00651936,-0.00173177,0.00295065
1969-06-26,-0.00499226,0.00257617,-0.00071532
1969-06-27,-0.00114596,-0.00017659,-0.00194439
1969-06-30,-0.00208081,-0.00064446,-0.00275482
1969-07-01,0.00612318,0.00292196,-0.00456531
1969-07-02,-0.00238189,-0.00184740,-0.00615798
1969-07-03,-0.00197410,-0.00317897,-0.00462389
1969-07-07,-0.00165252,-0.00099443,0.00529884
1969-07-08,-0.00018903,0.00122705,0.00566050
1969-07-09,0.00059340,0.00085575,0.00027260
1969-07-10,0.00181255,0.00468379,0.00745029
1969-07-11,-0.00273547,-0.00003882,0.00123987
1969-07-14,0.00456316,0.00199768,0.00733045
1969-10-14,-0.02254874,-0.00414649,-0.00495666
1969-10-15,-0.00153999,0.00054755,-0.00246763
1969-10-16,-0.01157424,0.00099829,-0.00179955
1969-10-17,-0.00352857,-0.00070025,-0.00297005
1969-10-20,-0.00819739,-0.00453237,-0.00291094
1969-10-21,-0.02161473,-0.00501110,-0.00576161
1969-10-22,-0.01461103,-0.00376089,-0.00507856
1969-10-23,0.00422047,0.00231932,0.00141585
1969-10-24,-0.01126888,-0.00086172,-0.00046586
1969-10-27,0.00045030,0.00078915,0.00130292
1969-10-28,0.00233104,-0.00050259,-0.00078351
1969-10-29,0.01206050,0.00246118,-0.00053144
1969-10-30,-0.00282260,-0.00501053,-0.00063589
1969-10-31,-0.00585685,-0.00000641,-0.00132221
1969-11-03,0.00341633,0.00220903,0.00169956
1969-11-04,0.00258732,0.00142644,0.00428864
1969-11-05,-0.00530847,-0.00108146,-0.00031725
1969-11-06,-0.00199918,0.00038386,0.00011893
1969-11-07,-0.00603068,-0.00077746,0.00084227
1969-11-10,0.00267409,0.00314534,0.00356077
1969-11-11,0.00654189,0.00003740,0.00078690
1969-11-12,0.00386389,0.00333788,0.00153295
1969-11-13,0.00827720,0.00638446,0.00099126
1969-11-14,0.00533072,0.00185220,-0.00081333
1969-11-17,0.00872822,0.00547179,0.00008276
1969-11-18,0.00450776,0.00216303,-0.00006675
1969-11-19,0.00666473,0.00231198,0.00037805
1969-11-20,0.00924194,0.00302280,-0.00196702
1969-11-21,0.00531143,0.00212548,-0.00121373
1969-11-24,0.01214177,0.00467753,0.00011401
1969-11-25,0.00330156,0.00166252,0.00254610
1969-11-26,0.00092888,-0.00025931,0.00228707
1969-11-28,-0.00414478,-0.00165304,0.00211476
