date,factor_TS,factor_PRET,factor_R2
1969-03-31,0.03148008,0.00166840,0.00740474
1969-04-30,0.01492577,0.02456828,0.00145103
1969-05-31,0.03343448,0.01925404,0.00738231
1969-06-30,-0.04385261,0.00938729,0.04383270
1969-07-31,0.00412699,0.00561676,0.01184972
1969-08-31,0.00000000,0.00000000,0.00000000
1969-09-30,0.00000000,0.00000000,0.00000000
1969-10-31,-0.08183795,-0.01732366,-0.02666201
1969-11-30,0.06790233,0.03703237,0.01707970
1969-12-31,0.10081906,0.04934894,0.02131859
1970-01-31,-0.03472407,0.01108621,0.02180077
1970-02-28,-0.03285834,-0.01914659,0.00707758
1970-03-31,-0.03124354,-0.00186726,0.02745325
1970-04-30,0.05139495,0.02075138,0.00588409
1970-05-31,0.01432146,0.02839128,0.00839452
1970-06-30,0.04242856,0.00847221,-0.00803553
1970-07-31,-0.04328116,-0.00261212,0.02158059
1970-08-31,-0.00856778,0.00156344,0.05916358
1970-09-30,-0.01803914,0.00499082,0.09941018
1970-10-31,-0.00057630,-0.02217771,-0.04478493
1970-11-30,-0.01257103,-0.01939987,0.00144527
1970-12-31,0.05146948,0.03328518,-0.00556099
1971-01-31,0.07362507,0.08936898,-0.00099948
1971-02-28,0.02061567,0.02648266,-0.00113771
1971-03-31,0.01927817,0.01627547,-0.01082001
1971-04-30,0.00254213,0.00048710,0.00561299
1971-05-31,-0.01703602,-0.02135535,-0.00569068
1971-06-30,-0.02643910,-0.03004399,0.00465748
1971-07-31,0.03125389,0.01864504,-0.00928143
1971-08-31,-0.01122043,-0.00975029,-0.00397315
1971-09-30,-0.01562694,-0.01831243,-0.02287676
1971-10-31,-0.01253333,-0.00292176,-0.00399136
1971-11-30,0.00057253,0.01170017,-0.01443828
1971-12-31,0.03362440,0.02735329,-0.01930214
1972-01-31,-0.02000086,0.00400013,-0.01859530
1972-02-29,0.03621848,0.01482678,-0.00227399
1972-03-31,0.02517542,0.01779560,0.00891634
1972-04-30,0.01693834,0.02084980,0.00377200
1972-05-31,0.02638904,0.01983003,0.01237318
1972-06-30,0.02627353,0.01877162,0.00292244
1972-07-31,0.00539061,0.00913895,-0.00246886
1972-08-31,-0.07002928,-0.04663772,-0.01499291
1972-09-30,0.02163131,0.00812413,-0.00148931
1972-10-31,-0.00261675,0.01078027,0.00091368
1972-11-30,-0.05433800,-0.00260823,-0.01235449
1972-12-31,0.06688075,0.00878938,0.00471515
1973-01-31,0.01898077,0.02469559,0.00437693
1973-02-28,0.03689231,-0.00012230,-0.00008491
1973-03-31,0.04296849,0.02904736,-0.00716670
1973-04-30,0.07674888,0.04122014,0.00199669
1973-05-31,0.09535305,0.03317200,-0.00973817
1973-06-30,0.05042077,0.03120134,-0.00718146
1973-07-31,-0.12258126,-0.03666210,0.02231533
1973-08-31,0.06195291,0.03512738,0.01892869
1973-09-30,-0.04610368,-0.02126750,-0.00521502
1973-10-31,0.06057032,0.03179409,0.01304630
1973-11-30,0.03079478,0.01413072,0.00839655
1973-12-31,0.06035724,0.03550390,0.02337420
1974-01-31,-0.01365439,-0.05803316,-0.02922225
1974-02-28,0.01081489,0.00223364,0.00781238
1974-03-31,-0.04713480,0.00036940,-0.00161801
1974-04-30,0.00123827,0.00645268,-0.00571762
1974-05-31,-0.01200221,-0.01193092,-0.00229219
1974-06-30,0.02796913,0.00703883,-0.00837737
1974-07-31,0.11185967,0.04311590,-0.00019456
1974-08-31,0.06573774,0.02351229,-0.01903508
1974-09-30,0.10665090,0.04235484,0.02162919
1974-10-31,-0.06275430,0.01166922,-0.00830889
1974-11-30,0.00973902,0.00380109,-0.00270260
1974-12-31,0.06047775,0.03138690,0.02569780
1975-01-31,-0.04663282,0.01622778,-0.00810289
1975-02-28,-0.01159760,-0.00938606,-0.00236781
1975-03-31,-0.01501121,0.01807190,-0.01261358
1975-04-30,-0.00630465,-0.01905686,-0.01771959
1975-05-31,-0.00022440,-0.01495419,-0.01547292
1975-06-30,0.03728684,0.01252675,-0.01615761
1975-07-31,0.02943456,-0.00101089,-0.02355452
1975-08-31,0.02252641,-0.00606282,0.00055672
1975-09-30,-0.01861849,-0.00773975,-0.00315115
1975-10-31,0.01676873,0.01261980,-0.01113221
1975-11-30,0.01487980,0.01371167,-0.00952237
1975-12-31,0.04097217,0.02690790,-0.00771231
1976-01-31,0.08375164,0.05671954,-0.00600756
1976-02-29,0.02126158,0.01367538,-0.01764204
1976-03-31,0.01892709,0.00978752,0.00804748
1976-04-30,0.00183020,-0.00320472,0.00276150
1976-05-31,0.01374288,0.00910138,0.00092786
