date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-07-02,-0.00097954,0.00853581,0.00467062,0.00337680,0.00643731,0.00435205,0.00282037,0.00483006,0.00204323,0.00796931,0.00262338,0.00690998,0.00189940,0.00509950,0.00937206,0.00355582,0.00491534,0.00588914,0.00702858,0.01022448,0.00460858,0.00652677,0.00187289,0.00676870,0.01489205
1963-07-03,0.00516698,0.00312947,0.00341120,0.00728283,0.00949619,0.00203326,0.00150589,0.00365457,0.00626077,0.00897223,0.00310025,0.00630109,0.00776752,0.00573491,0.00765439,0.00353400,0.00405002,0.00316985,0.00538945,0.00871952,0.00270820,0.00348275,0.00658451,0.00521266,0.01055056
1963-07-05,0.00330971,0.00714720,0.00306894,0.00031473,0.00471702,0.00268369,0.00348128,0.00441195,0.00413039,0.01221223,0.00119477,0.00244422,0.00330383,0.00481098,0.00046914,0.00187146,0.00189952,0.00139758,0.00540966,0.00119945,0.00140052,0.00336569,0.00186145,0.00112130,0.00445136
1963-07-08,-0.00443997,-0.00440006,-0.00459315,-0.00312544,-0.00548222,-0.00469146,-0.00208997,-0.00420583,-0.00639044,-0.00812025,-0.00123206,-0.00240273,-0.00340097,-0.00656381,-0.00713230,-0.00320289,-0.00411053,-0.00204500,-0.00565519,-0.00684983,0.00033365,-0.00455545,-0.00524109,-0.00407628,-0.01235189
1963-07-09,0.00186045,0.00133784,0.00204552,0.00442250,0.00953609,0.00116342,0.00320367,0.00318120,0.00550017,0.00681014,0.00240191,0.00507095,0.00321548,0.00778623,0.01193755,0.00139432,0.00077677,0.00513537,0.00725191,0.00755647,0.00281934,0.00624039,0.00434092,0.00699938,0.01085694
1963-07-10,0.00071271,-0.00071911,-0.00112588,-0.00009427,0.00016258,-0.00180782,-0.00428878,-0.00242785,-0.00051953,0.00300066,-0.00369143,-0.00368369,0.00016206,-0.00083250,-0.00260895,0.00083672,0.00091533,-0.00114411,0.00232216,0.00254886,0.00016072,-0.00164363,0.00209018,-0.00233944,-0.00094098
1963-07-11,-0.00049531,0.00381639,0.00365766,0.00015864,0.00158553,-0.00555508,-0.00336361,0.00409082,-0.00135613,-0.00284923,-0.00196474,-0.00098373,-0.00115622,0.00083653,-0.00325048,0.00063605,-0.00102777,0.00043805,-0.00082150,-0.00097134,-0.00154866,0.00180275,-0.00124232,-0.00087156,0.00036713
1963-07-12,-0.00197083,0.00771294,-0.00016538,-0.00258966,-0.00334958,0.00061966,0.00717319,0.00123009,-0.00385739,0.00051972,0.00134098,-0.00197288,-0.00147449,-0.00242431,-0.00104164,-0.00191623,-0.00111483,-0.00176754,-0.00085092,0.00153098,0.00140354,-0.00174506,-0.00106363,-0.00294877,0.00069822
1963-07-15,-0.00507735,-0.00315217,-0.00436397,-0.00591917,-0.00347341,-0.00411168,-0.00498384,-0.00181346,-0.00825678,-0.00908302,-0.00348625,-0.00276302,-0.00654545,-0.00552081,-0.00872350,-0.00116300,-0.00513433,-0.00316658,-0.00612278,-0.00525144,-0.00089552,-0.00218983,-0.00442448,-0.00865670,-0.01067303
1963-07-16,0.00192240,-0.00350250,0.00064162,-0.00219302,-0.00290856,0.00229294,-0.00298438,-0.00351202,-0.00287042,0.00190270,-0.00236105,0.00132261,0.00244298,-0.00252741,0.00270328,-0.00013365,-0.00272508,-0.00032448,-0.00083380,-0.00072728,0.00028931,-0.00156561,-0.00111709,-0.00107456,0.00005125
