date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-07-02,0.00064142,0.00971024,0.00374905,0.00285888,0.00838777,0.00528040,0.00777796,0.00668337,0.00258527,0.01270836,0.00397594,0.00943942,0.00229650,0.00532722,0.01719490,0.00793631,0.01509250,0.00854288,0.00878014,0.00924223,0.00577942,0.00868840,0.00500183,0.00832013,0.02077956
1963-07-03,0.00188047,0.01036179,0.00338786,0.00437477,0.01296400,0.00483734,0.00726810,0.00499691,0.00552471,0.00853906,0.00372173,0.00323028,0.00811148,0.00978332,0.00706299,0.00546607,0.00599007,0.00445810,0.00810485,0.00936442,0.00468511,0.01071883,0.00410714,0.00878987,0.00796583
1963-07-05,-0.00010671,0.00689917,0.00545797,0.00198499,0.00475500,0.00592578,0.00740033,0.00193790,0.00438182,0.01141710,-0.00062469,0.00185797,0.00816366,0.00344451,0.00554731,0.00299732,0.00452419,0.00241479,0.00383759,0.00384116,0.00291848,0.00635361,0.00285778,0.00386612,0.00505597
1963-07-08,0.00029021,-0.00867790,-0.00540386,-0.00644590,-0.00456269,-0.00771577,-0.00443536,-0.00531007,-0.00250266,-0.00554284,-0.00017637,-0.00529573,-0.00218535,-0.00435903,-0.01450309,-0.00551828,-0.01029756,-0.00355050,-0.00717992,-0.00808850,-0.00240886,-0.00720057,-0.00794767,-0.00371477,-0.01093711
1963-07-09,0.00431614,-0.00405521,-0.00011891,0.00322271,0.00356327,0.00340594,0.00342771,0.00331253,0.00635350,0.00181954,-0.00237184,0.00640926,0.00318778,0.00803034,0.01489455,0.00211488,0.00540575,0.00610912,0.00934517,0.00816295,0.00426648,0.00570292,0.00445569,0.00641183,0.01133556
1963-07-10,-0.00697308,-0.00053581,-0.00165926,-0.00001232,-0.00120825,-0.00212747,-0.00348546,-0.00362879,-0.00114940,0.00021530,-0.00498179,-0.00565536,0.00210442,-0.00190972,-0.00502257,-0.00154297,-0.00560988,-0.00104643,-0.00036658,0.00312816,-0.00045503,-0.00080876,0.00176881,-0.00238018,-0.00328508
1963-07-11,-0.00355302,0.00331117,0.00681322,0.00063073,-0.00685758,-0.00231010,-0.00256164,-0.00137710,-0.00347929,-0.00822497,0.00028674,0.00125678,-0.00585313,-0.00075554,0.00525126,-0.00123230,-0.00351045,0.00160775,-0.00049149,-0.00235532,-0.00023975,0.00044272,-0.00387691,-0.00275358,-0.00655537
1963-07-12,-0.00402352,0.00296973,-0.00527066,-0.00309206,-0.00166482,0.00075226,-0.00234398,0.00007067,-0.00613279,-0.00411272,-0.00095942,-0.00292424,-0.00135654,-0.00173068,-0.00448887,-0.00138331,-0.00318044,-0.00232366,-0.00034223,0.00420714,0.00344694,-0.00009287,-0.00151037,-0.00385917,0.00002649
1963-07-15,-0.00638615,-0.00943775,-0.00510127,-0.00332644,-0.00558719,-0.00514063,-0.00337604,-0.00211757,-0.01477259,-0.01098973,-0.00022528,-0.00361697,-0.00611556,-0.00705471,-0.01406968,-0.00558689,-0.00447995,-0.00693461,-0.00773364,-0.00553333,-0.00268324,-0.00725491,-0.00832674,-0.00708191,-0.00978111
1963-07-16,-0.00411630,-0.00494701,-0.00211864,-0.00323481,-0.00430866,-0.00021305,-0.00652716,-0.00347387,-0.00505872,-0.00142637,0.00280900,0.00204435,0.00134521,-0.00080871,0.00413816,0.00193228,0.00213213,0.00028161,0.00085222,0.00900486,-0.00193655,-0.00381190,-0.00175207,-0.00094697,0.00373226
