date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-07-02,0.00729920,0.00413345,0.00322205,0.00618835,0.00533645,0.00584495,0.00837270,0.01171075,0.00700920,0.01487575,0.00250985,0.00475170,0.00612840,0.00709285,0.00936290,0.00761560,0.00388215,0.00319705,0.00560520,0.01053380,0.00474295,0.00767270,0.00289270,0.00426900,0.01742690
1963-07-03,0.00710310,0.00386905,0.00832180,0.00885200,0.00454225,0.00409495,0.00478405,0.00541505,0.00262735,0.01256710,0.00312050,0.00394625,0.00663480,-0.00083375,0.00734930,0.00152940,0.00453925,0.00624520,0.00718975,0.00897770,0.00435655,0.00447055,0.00782785,0.00935820,0.00768560
1963-07-05,0.00307180,0.00236080,0.01090070,0.00274585,0.00796840,0.00148965,-0.00121895,0.00389310,0.00507305,0.00555160,0.00282315,0.00133370,0.00372155,-0.00258715,0.00188325,-0.00007555,0.00516290,0.00333040,0.00442735,0.00435680,0.00528270,0.00181935,0.00646645,-0.00061150,0.00119970
1963-07-08,-0.00538775,-0.00540885,-0.00642620,-0.00105280,-0.00385855,-0.00030185,-0.00410890,-0.00442620,-0.00115165,-0.00649205,-0.00391770,-0.00179845,-0.00270185,-0.00679755,-0.00587895,-0.00249780,-0.00031990,-0.00614795,-0.00585660,-0.00785285,-0.00015770,-0.00465655,-0.00367250,-0.00501650,-0.00845145
1963-07-09,-0.00195940,0.00307580,0.00226660,0.00578400,0.00433875,0.00056865,0.00556685,0.00506930,-0.00066910,0.01124480,0.00515205,0.00164725,0.00319225,0.00967685,0.01250070,-0.00094385,0.00301070,0.00338965,0.00711885,0.01115985,0.00447685,0.00200225,0.00341670,0.01031730,0.00936245
1963-07-10,-0.00293465,-0.00061370,-0.00342765,-0.00167490,-0.00197705,-0.00459195,-0.00659275,-0.00119280,-0.00160950,-0.00352955,-0.00016810,-0.00158195,-0.00265955,-0.00066320,-0.00031170,-0.00153300,0.00028765,-0.00103325,-0.00104435,0.00218665,-0.00103855,-0.00004160,0.00112940,-0.00216060,-0.00264765
1963-07-11,-0.00211280,0.00370800,-0.00402120,-0.00306860,-0.00438685,0.00037320,0.00073105,-0.00049130,-0.00136155,-0.00075470,0.00156950,-0.00244295,-0.00036285,0.00202805,-0.00352990,0.00166810,0.00320695,-0.00038975,-0.00066905,-0.00513490,0.00010630,-0.00335140,-0.00601085,-0.00008475,-0.00357115
1963-07-12,-0.00496915,-0.00145940,0.00125655,-0.00862200,-0.00842660,-0.00008590,-0.00193485,-0.00444360,-0.00318665,-0.00268215,-0.00198590,0.00021500,-0.00292490,-0.00299710,-0.00424945,0.00107300,0.00208560,-0.00097570,0.00003485,0.00356715,0.00027020,-0.00293885,-0.00173940,-0.00255640,-0.00099385
1963-07-15,-0.00844665,-0.00391905,-0.00251850,-0.00582290,-0.01418415,-0.00159210,-0.00599065,-0.00648165,-0.00568655,-0.01164840,-0.00271700,-0.00378545,-0.00767000,-0.00810685,-0.00354455,-0.00269705,-0.00099700,-0.00058060,-0.00680340,-0.00965865,-0.00497095,-0.00904085,-0.00420655,-0.00743290,-0.01003215
1963-07-16,-0.00192160,-0.00212970,-0.00621265,-0.00445160,-0.00312845,0.00002440,-0.00016670,0.00251280,0.00091685,0.00249745,0.00102180,-0.00145810,-0.00381925,0.00139460,0.00302220,0.00074605,-0.00166425,-0.00466715,0.00065275,0.00004025,-0.00267040,-0.00088195,-0.00338745,-0.00247610,-0.00001345
