date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-07-31,-0.03347795,-0.01051988,-0.00991631,-0.01498989,-0.01080734,0.00859745,-0.01497394,0.00028942,0.00069047,0.01579397,0.00882169,-0.00159363,-0.01197529,-0.01120434,0.00465840,0.00621365,0.01430673,0.00420041,-0.00290450,0.00094690,0.01346002,-0.00825890,0.00066741,-0.00070983,0.01828016
1963-08-31,0.04254340,0.05682989,0.05556662,0.04968465,0.07989716,0.03986883,0.04629790,0.06601367,0.05457295,0.07084773,0.04580478,0.04035254,0.07139893,0.06092373,0.08299672,0.03188378,0.03272663,0.04950413,0.07651777,0.06933288,0.03594643,0.05231292,0.06187190,0.06057762,0.10660654
1963-09-30,-0.02212577,-0.02807734,-0.01758257,-0.01851350,-0.01996274,-0.00933932,-0.00047057,-0.01133440,-0.01118170,-0.05515136,-0.02791826,-0.01956087,-0.01315454,-0.01456846,-0.02222076,-0.00177212,-0.00365633,-0.00688825,-0.02766329,-0.01927359,-0.03142279,-0.02386759,-0.03098264,-0.03514064,-0.02117463
1963-10-31,0.00650840,0.00787877,0.01342135,0.00821945,0.01473104,-0.01301909,-0.00525641,-0.00217430,0.02980034,0.00925458,0.00360358,0.01657450,0.01384235,0.03746094,0.02425284,-0.00364515,0.00584536,-0.00086912,0.03113630,0.01633270,0.01216350,0.02448127,0.04120117,0.03224248,0.08621340
1963-11-30,0.00069321,-0.00535853,0.00735760,-0.00154350,-0.01114063,0.00902316,-0.00564063,-0.01103718,-0.00265360,0.02324929,-0.00110913,-0.01666322,-0.00557588,-0.00323648,0.01478767,-0.01245175,-0.00851648,-0.01027381,-0.00644554,-0.00705239,0.00551861,-0.02680450,-0.00124692,-0.01043172,0.04187493
1963-12-31,-0.01502714,0.01078804,0.01517660,0.02678609,0.00450259,0.00999353,0.00978858,0.02528789,0.01906178,0.00582512,0.02217273,0.01902123,0.00902214,0.01758418,0.03356168,0.01738860,0.02213256,0.02188945,0.03385408,0.01106304,0.01360866,0.03901254,0.04038531,0.03148334,0.06139378
1964-01-31,-0.02239797,0.02410233,-0.00016041,0.01385783,0.00920133,0.00511331,0.01931031,0.01044829,0.01139801,0.00890908,0.01258979,0.01169761,0.01611987,0.01088467,0.00711061,0.00937519,0.02140254,0.02785054,0.02884381,0.01224014,0.01905491,0.01426889,0.02276171,0.04036792,0.05402637
1964-02-29,0.02656316,0.01631918,0.01027526,0.02062646,0.04128423,0.02434824,0.00724634,0.01831991,0.02635083,0.00527378,0.03377137,0.02164477,0.01924230,0.01652539,0.04236638,0.00658004,0.02026922,0.02833523,0.01608650,0.01946379,0.01807910,0.03635848,0.02487810,0.03080885,0.04708524
1964-03-31,0.02746658,0.01916156,0.02887088,0.00197855,0.02571864,0.03275159,0.00825382,0.00456419,0.00940596,0.02056007,0.01879557,0.01801236,0.03503808,0.03325796,0.02801292,0.02756016,0.04513306,0.02293538,0.03183939,0.01005749,0.03588111,0.03142368,0.03460274,0.01295067,0.05808537
1964-04-30,-0.02092046,0.00284537,0.01248389,0.00455525,-0.02802596,0.01764692,0.00885331,0.01319574,0.03660392,-0.04227592,-0.00826290,0.01900412,0.01840736,-0.00396577,-0.02967941,0.00911379,-0.00897030,0.00737401,-0.00519753,-0.00615770,-0.01364870,-0.00092428,0.00393034,-0.01925543,-0.00373619
