date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-07-02,0.00705481,0.00195090,0.00777240,0.00329460,0.00532776,0.00588399,0.00787129,0.01213852,0.00377640,0.01160469,0.00777568,0.00750641,0.02060021,0.00650402,0.01344080,0.00886605,0.00942520,0.00174491,0.00514619,0.01051422,0.00589479,0.01123856,0.00493319,0.00526744,0.01988526
1963-07-03,0.00479491,0.00367488,0.01028457,0.01000372,0.00660167,0.00443541,0.00110944,0.00440715,0.00746325,0.01165742,0.00722253,0.00187624,0.00562126,0.00057731,0.00938933,0.00182290,0.00584962,0.00864444,0.00532474,0.01028354,0.01059548,0.01109188,0.00284141,0.01027927,0.00810419
1963-07-05,0.00536434,0.00332114,0.00949514,0.00263790,0.00785836,-0.00055155,0.00044134,0.00500330,0.00909720,0.00426905,0.00359310,0.00291377,0.00659452,0.00056806,0.00246047,0.00093695,0.00476120,-0.00022065,0.00432565,0.00536716,0.00566778,0.00749459,0.00450678,-0.00130761,0.00260186
1963-07-08,-0.00661225,-0.00543469,-0.00713121,-0.00484433,-0.00220465,0.00046680,-0.00490430,-0.00587267,-0.00051451,-0.00730381,-0.00677643,-0.00473778,-0.01357621,-0.00565689,-0.00710304,-0.00126609,-0.00490745,-0.00744589,-0.00575699,-0.00671491,-0.00035963,-0.00930607,-0.00726957,-0.00504219,-0.01017808
1963-07-09,-0.00452641,0.00316410,0.00330158,0.00388694,0.00525744,-0.00192679,0.00470384,0.00528036,0.00188374,0.01069641,0.00246622,0.00443124,0.00633995,0.00700793,0.01156837,-0.00095278,0.00688901,0.00237992,0.00553915,0.00897023,0.00424922,0.00746530,0.00320311,0.01136216,0.00907693
1963-07-10,-0.00250440,0.00082218,-0.00219942,-0.00117269,-0.00055272,-0.00533905,-0.00685272,-0.00453756,0.00215185,-0.00270353,-0.00144859,-0.00181543,-0.00607409,-0.00179404,0.00497524,-0.00053391,-0.00062382,-0.00095574,-0.00281047,0.00016054,-0.00341053,-0.00016084,0.00078734,0.00085578,-0.00284149
1963-07-11,0.00161841,0.00462472,-0.00388621,-0.00251473,-0.00755441,0.00040710,0.00198902,0.00049739,-0.00740726,0.00212226,-0.00045084,-0.00353120,-0.00439010,0.00218941,-0.00287989,0.00038965,0.00124672,-0.00000905,-0.00041718,-0.00563853,0.00168918,-0.00267264,-0.00414029,0.00003992,-0.00771458
1963-07-12,-0.00405549,-0.00221889,-0.00110242,-0.00697054,-0.00780064,-0.00092280,-0.00091818,-0.00629350,-0.00060691,-0.00137250,-0.00207609,0.00083102,-0.00427532,-0.00302733,0.00002253,0.00088182,0.00536884,0.00178819,-0.00077770,0.00386010,0.00403399,-0.00359976,-0.00316097,-0.00091683,-0.00245984
1963-07-15,-0.00995269,-0.00345333,-0.00347024,-0.00268565,-0.01647615,-0.00035197,-0.00393964,-0.00457265,-0.00630164,-0.00991477,-0.00695100,-0.00343249,-0.00263482,-0.00717155,-0.00794060,-0.00276548,-0.00439045,-0.00261073,-0.00754185,-0.00674814,-0.00686120,-0.00947081,-0.00816872,-0.00836160,-0.00718021
1963-07-16,-0.00505178,-0.00265500,-0.00749616,-0.00178407,-0.00523130,0.00164934,0.00094807,0.00312070,0.00063962,0.00091796,0.00273088,-0.00064571,0.00166003,0.00321131,0.00746198,0.00119623,0.00107898,-0.00824468,0.00030746,0.00010006,-0.00363355,-0.00138866,-0.00080234,-0.00466085,0.00374304
1963-07-17,-0.01126696,-0.00238265,-0.00178598,-0.00577088,0.00336126,-0.00758155,-0.00215564,-0.00280666,-0.00309786,-0.00395745,-0.00233483,-0.00094471,-0.00385532,-0.00551121,-0.00320987,-0.00516356,-0.00194231,-0.00534868,-0.00374926,-0.00665289,-0.00435780,-0.00072563,-0.00163597,-0.00165993,-0.00354204
1963-07-18,-0.00829076,-0.00662103,-0.00619523,-0.00751983,-0.00198836,-0.00372261,-0.00622927,-0.00427130,-0.00583996,-0.00501708,-0.00259675,-0.00340121,-0.00586877,-0.00544119,-0.00439516,-0.00113711,-0.00539280,-0.00689129,-0.00276369,-0.00982169,-0.00846694,-0.00694075,-0.01086691,-0.00190118,-0.00426146
1963-07-19,0.00180675,-0.00312073,-0.00869469,-0.00502697,-0.00470081,0.00163307,-0.00422556,-0.00394442,0.00499252,-0.00375639,0.00137202,0.00223000,-0.00231523,-0.00408099,-0.00699420,-0.00337847,-0.00643970,-0.00585907,-0.00980866,-0.00255097,-0.00307254,-0.00018963,-0.00119002,-0.00771475,-0.00216733
1963-07-22,-0.00706288,-0.00281418,-0.00049363,-0.00164361,-0.01352896,-0.00280118,-0.00416233,-0.00847014,-0.00648577,-0.00428156,-0.00600065,-0.00425168,-0.00454559,-0.00689505,-0.00825645,-0.00076371,-0.00620136,-0.00853538,-0.00673626,-0.01194487,-0.00503162,-0.00800605,-0.01110081,-0.00508601,-0.00363735
1963-07-23,-0.00087380,-0.00223947,-0.00248711,0.00108163,-0.00341074,0.00576123,-0.00080227,-0.00513930,-0.00069806,-0.00585636,0.00572479,-0.00333193,-0.00164044,0.00197446,0.00147364,0.00031558,-0.00226194,-0.00298237,0.00395894,-0.00181104,0.00121954,-0.00040815,0.00217065,0.00247462,0.00203195
1963-07-24,0.00049218,-0.00097352,0.00521183,0.00760752,0.01441109,0.00017393,-0.00438255,0.00027772,0.00715853,0.00623764,0.00018912,0.00076056,0.00380871,0.00798039,0.01175698,0.00131594,0.00709537,0.00716387,0.00675789,0.00693589,0.00662909,0.00940549,0.00827970,0.00542102,0.00568433
1963-07-25,-0.00300710,0.00468584,-0.00500654,-0.00245010,-0.00462487,-0.00315586,0.00188348,0.00104109,0.00117411,-0.00320496,-0.00308360,0.00133155,0.00260298,0.00045951,0.00095497,0.00415748,-0.00777181,-0.00057045,0.00074069,-0.00344186,0.00419995,0.00402089,-0.00280475,-0.00374580,-0.00485114
1963-07-26,0.00337597,0.00091338,0.00041261,0.00051746,0.01034404,0.00079625,0.00042944,0.00195815,-0.00069585,0.00133671,0.00320664,0.00299270,0.00197612,0.00013241,0.00229176,-0.00017113,0.00669423,0.00196498,-0.00036541,0.00670687,0.00369535,0.00732648,0.01112728,0.00241763,0.00526338
