date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-07-31,-0.03229770,-0.00231381,-0.00803336,-0.02009013,-0.01509466,0.00535332,-0.01573239,-0.00127936,0.01858059,0.00904131,0.00360970,0.00835269,0.00866590,-0.00599037,0.02778520,0.01031835,0.01621115,-0.00921295,-0.00449256,0.00621854,0.02133331,0.02483575,0.01117037,0.00435662,0.01766231
1963-08-31,0.04308038,0.06008380,0.06747388,0.04970557,0.07771881,0.04060854,0.04497956,0.07111012,0.04043309,0.07656319,0.04597113,0.03712334,0.08117792,0.06419163,0.09827924,0.02350166,0.05677278,0.06397074,0.08463186,0.07091406,0.03768944,0.03590518,0.06696842,0.06233818,0.11770834
1963-09-30,-0.00956109,-0.02991207,-0.01486482,-0.00706188,-0.00981922,-0.01079578,-0.00453204,-0.00403898,0.00254423,-0.05985680,0.01194754,-0.01291528,0.00388815,-0.01581519,-0.01216746,-0.00618064,-0.00129028,-0.01727301,-0.03747619,-0.02680196,-0.00715686,-0.03834119,-0.01535471,-0.03477949,0.00333809
1963-10-31,0.01503183,0.01481067,0.00105008,0.01373308,0.02465300,-0.01388690,0.00843658,0.02158390,0.03648999,-0.00004272,0.03546897,0.04330513,0.02557949,0.03265275,0.02127147,-0.00409971,0.01008683,0.00324116,0.04058191,0.03962458,-0.00903860,0.02513167,0.11906532,0.02907487,0.09904119
1963-11-30,-0.01126975,-0.00949473,0.01880059,-0.00571109,-0.00068670,0.02888042,-0.00669714,-0.02947516,-0.00248777,0.02049538,0.03523019,-0.01610847,-0.01171862,0.00779168,0.01700303,-0.01980771,-0.00678844,-0.00739863,-0.00050274,0.00029380,0.00593133,-0.02431514,-0.05852366,-0.00239580,0.01142277
1963-12-31,-0.00709369,0.03091521,0.02698753,0.03474806,0.01618986,0.01252065,0.02650987,0.02866491,0.02285190,-0.00867126,0.02919662,0.03087431,0.00825068,0.03433193,0.02153082,0.00724781,0.03576427,0.01233722,0.01481898,0.01356889,0.04617587,0.03292754,0.04952336,0.00697500,0.05268783
1964-01-31,-0.02018084,0.01949683,0.01006369,0.02723172,0.00048748,0.01387051,0.02019267,0.03042759,0.01414411,0.00271005,0.00665731,0.02156935,0.03365989,0.00712791,0.01726799,0.01963000,0.05300839,0.05652736,0.03231041,0.01997478,0.06005791,0.03807649,0.00795879,0.03349165,0.01834640
1964-02-29,-0.00361659,0.00843276,0.00421870,0.00996174,0.04560251,0.01982191,0.02746748,0.01681386,0.03767216,0.01486029,0.04314389,0.01611760,0.02023782,0.02091347,0.04210095,-0.00682488,0.01387356,0.01343095,0.00923113,0.00656764,0.01194449,0.03037873,0.01327638,0.02477233,0.02940287
1964-03-31,0.03373107,0.02030459,0.01787188,0.00039379,0.01861843,0.02091876,0.01164339,0.00194768,0.00427534,0.01502056,-0.00161732,0.00117616,0.01930191,0.04091668,0.03173434,0.02897822,0.03239935,0.00729189,0.05132723,0.01837316,-0.00371569,0.00577153,0.04842477,-0.00198647,0.03642087
1964-04-30,-0.01235041,0.00140647,0.00991160,0.01700704,-0.02556672,0.05320676,0.01456911,0.00452025,0.05224977,-0.03166961,0.00465146,0.03339684,0.01516208,0.00446449,-0.01356641,0.02735703,-0.02585929,-0.00787157,-0.02638083,-0.01375854,0.00390709,0.03085506,-0.00094796,-0.02119250,0.00101432
1964-05-31,-0.00811006,-0.01808829,0.02128212,0.01183117,-0.01079321,0.00149274,0.02349148,0.01327957,0.01669818,-0.02857321,0.00750676,0.02874784,0.02835861,0.01792087,0.00892274,-0.00600090,0.01114327,0.02738180,0.03524181,0.04828820,0.00669609,0.02306302,0.00976493,0.02944845,0.07319927
1964-06-30,0.03659163,0.02670579,-0.00763398,0.03144887,0.00534114,0.02297881,0.01855960,0.02331669,0.01459509,-0.00570030,0.00419219,0.02046035,0.00696375,0.01603644,-0.00819702,0.01796014,0.01375325,0.01029054,0.02186675,0.00635109,0.05542362,0.00255301,-0.00291810,0.02573895,0.00522199
1964-07-31,0.04791076,0.04030192,0.03920941,0.02395671,0.02157407,-0.00885725,0.03299630,0.03523211,0.03119379,0.01222531,0.03615933,0.05326931,0.02167911,0.02595785,0.03325983,0.04153168,-0.01286875,0.05525353,0.01674472,0.01807019,0.01998544,0.01195765,0.01690711,-0.01512899,-0.01597033
1964-08-31,0.00066518,-0.00210818,-0.01426789,-0.01544605,-0.00834891,0.00318540,-0.00658257,0.00963059,-0.02740299,-0.01989740,-0.00109304,-0.01720526,-0.00527957,-0.01460016,0.02626561,-0.00123919,-0.02088771,-0.02289836,-0.02002059,0.00510913,0.00883388,0.00047336,-0.03143749,-0.00400653,-0.02263061
1964-09-30,0.03149415,0.02384148,0.03649581,0.05447875,0.03706334,0.03290248,0.02657384,0.03468467,0.02154293,0.03064721,0.03126469,0.03376283,-0.00139472,0.03092550,0.06160189,0.02077855,0.02000599,0.04764545,0.02273572,0.03722091,0.03577185,0.02734340,0.02558028,0.03994516,0.08436375
1964-10-31,0.01285835,0.00368293,0.01395688,-0.00976764,0.00581505,0.02648931,-0.00678435,-0.00155939,0.01157517,-0.03113451,-0.00561982,0.00049777,0.01173899,0.04388063,0.01000103,0.02495931,0.01148558,0.02119177,0.01735618,-0.01658541,0.04156697,0.01234131,-0.02011349,0.02568281,0.00657995
1964-11-30,0.01018709,-0.00734511,0.01360754,0.03106542,-0.00983953,-0.02528568,0.01584586,0.00771621,-0.00201865,0.00534506,-0.00814442,-0.01550843,0.01181800,0.01440759,0.00636064,0.02481961,0.02881582,0.00943467,-0.00908676,-0.03444391,-0.00264061,0.02803565,-0.01901933,0.02301591,0.03008949
1964-12-31,0.01407206,-0.00434319,0.03121329,0.00007814,-0.02208529,0.02118784,0.00650061,-0.01131958,-0.01993357,-0.00336120,-0.00743827,-0.01298541,-0.00455526,-0.00602501,0.01985232,0.01740906,0.00544803,-0.00382739,-0.00518249,0.01035436,0.01378442,-0.00520425,0.02173251,-0.01141400,-0.00712536
1965-01-31,0.08555772,0.00210231,0.06543476,0.02212180,0.05809813,0.04412420,0.05128536,0.02500623,0.05711042,0.07405982,0.05838674,0.06305490,0.02648480,0.06386967,0.05051108,0.02308718,0.04376833,0.04306321,0.05039687,0.06916225,0.02528965,0.02518773,0.01559796,0.04596635,0.01825155
1965-02-28,0.01612733,0.00812389,0.00803803,0.02598215,0.01122538,0.02657470,0.02840872,0.00982051,0.00357734,0.06931316,0.00781412,-0.00547862,-0.00407475,0.01700953,0.03489453,-0.02774806,-0.00682991,0.01388324,0.01661093,0.00875785,-0.00271327,0.00081588,-0.01857583,0.00301404,0.01921340
1965-03-31,-0.00768247,-0.01343407,-0.02500561,0.01161168,-0.01131338,-0.00234229,-0.01699385,-0.02681100,-0.01408832,-0.01632868,-0.02492202,0.00355777,-0.01274732,0.00810937,0.00305373,-0.03145897,-0.01643235,-0.00202782,0.00003404,-0.02033938,-0.00432144,-0.02477472,-0.00814389,0.00450591,-0.03052705
1965-04-30,0.04461232,0.02174478,0.00374852,0.04502479,0.04158684,0.02015919,0.01370740,0.04099301,0.02671625,0.03717754,0.03027560,0.01164982,0.00480033,0.03597373,0.02601318,0.01851232,0.02765718,0.05797613,0.03618714,0.07013113,0.06111852,0.01814528,0.02829401,0.07108555,0.06487169
1965-05-31,-0.00346353,0.00963317,-0.01143623,-0.02152317,-0.00525661,-0.01663887,-0.00798791,0.00469914,0.02216143,-0.00634683,-0.00653592,-0.00339653,-0.00393019,-0.02104153,-0.00263981,-0.00261573,-0.01896016,0.00550303,0.02941694,0.02154290,-0.01309095,-0.00886468,-0.00896728,-0.00448024,-0.02121191
1965-06-30,-0.02530370,-0.03713136,-0.04193314,-0.05438198,-0.03288429,-0.04049672,-0.02217310,-0.04665845,-0.04553735,-0.06603379,-0.04723896,-0.03961021,-0.04922021,-0.07760524,-0.08570160,-0.03864029,-0.05356455,-0.03928407,-0.07531786,-0.06788850,-0.04102243,-0.06439783,-0.05962602,-0.07353110,-0.10018804
1965-07-31,-0.01515689,-0.00504856,0.01215687,0.01021681,0.00646884,-0.01120118,0.01546432,0.03114040,0.01119316,0.02261768,0.02014057,0.01439900,0.00328827,0.00983797,0.06841805,-0.00061895,-0.00929240,-0.00209736,0.03684467,0.04687443,0.02451198,0.04383200,0.02329682,0.09622416,0.07505519
1965-08-31,0.04219987,-0.00250310,0.01508337,0.02692368,0.03419396,0.03172019,0.02895144,0.01006787,0.02084428,0.04319097,-0.00372332,0.01229527,0.02473524,0.03306914,0.04883134,0.04618150,0.01336324,0.04248844,0.06036359,0.07674756,0.01055941,0.06438469,0.06393552,0.04605430,0.10712677
1965-09-30,0.04543249,0.02042864,0.01097324,0.03153606,0.03797216,0.01497520,0.00976888,0.04616725,0.03187529,0.03050262,0.01123490,0.03184825,0.02042375,0.02702470,0.03208686,0.04684152,-0.00415848,0.02501215,0.04830288,0.02764417,0.05003210,0.04333378,0.05523381,0.07593555,0.04339246
1965-10-31,0.01915786,0.04113728,0.04215756,0.04177817,0.02043076,0.02050107,0.00534030,-0.01064052,0.05013094,0.02564091,0.02441784,0.01509654,0.00939955,0.02209512,0.04762456,0.02361969,0.02363726,0.03968746,0.02013252,0.06584395,0.01778659,0.05380667,0.08182014,0.04277463,0.09006676
1965-11-30,-0.00360294,-0.00109625,-0.01169446,-0.01399157,-0.01941640,0.01788534,-0.00615445,-0.02359506,-0.01559100,0.01299362,-0.00510520,-0.00745549,0.00195699,-0.04625056,0.01066530,-0.01167306,0.02498842,0.01501180,-0.00935799,0.06161036,-0.00554681,0.03505955,-0.00156973,0.03825808,0.15091436
1965-12-31,0.05111125,0.02926272,-0.00792133,0.02039416,0.00480977,0.01601917,-0.00349920,0.00220962,0.00781034,0.01410014,0.03984461,-0.00721789,0.01437473,0.02098601,0.06293717,0.00643807,-0.01410551,0.02227645,0.03925446,0.01152586,-0.02629832,0.01287557,0.00703871,0.05766400,0.02536350
1966-01-31,-0.01565869,0.03270680,-0.00455838,-0.05026041,0.02264368,0.01695799,-0.02476993,0.01115873,0.02717952,-0.02096114,0.00768682,-0.02644203,-0.00245602,0.01349747,0.05197135,-0.00830043,0.02369839,-0.00375235,0.07269134,0.03998887,0.00206763,0.03672408,0.06815031,0.04811162,0.11041100
1966-02-28,-0.01805501,-0.02033822,-0.03245639,-0.03237226,-0.00975274,0.00130797,-0.03910035,-0.03161462,0.00782373,0.00574464,-0.01251700,-0.03395186,-0.02698909,-0.00580749,0.06471999,-0.04895388,0.00402350,-0.04845564,0.00191362,0.04808534,-0.03856203,-0.00401995,0.01130382,0.02721040,0.07539734
1966-03-31,-0.01427780,-0.02355017,-0.03150579,-0.01698620,-0.06445514,-0.02461939,-0.01439451,-0.03692003,-0.02200824,-0.01575229,-0.04040984,-0.01100027,-0.02471696,0.00492716,-0.03983218,-0.03001160,-0.02221514,-0.01625269,-0.00265624,-0.02844231,-0.01615440,-0.00200449,0.00852457,0.03877104,0.02826659
1966-04-30,0.00598882,0.00596414,0.01196717,-0.00091337,-0.01374239,0.01401084,0.01217509,0.01655600,0.01395350,-0.00128969,0.03438742,0.03519830,0.03384338,0.04806258,0.07028724,0.00748042,0.03476237,0.03929262,0.03802326,0.05397576,0.00549687,0.01349908,0.08789718,0.04568452,0.03244330
1966-05-31,-0.02303497,-0.04208332,-0.05629573,-0.04496206,-0.00797738,-0.03321351,-0.03052913,-0.05004509,-0.03351275,-0.05783216,-0.01247776,-0.02503759,-0.07928556,-0.03122109,-0.06990938,-0.02274969,-0.04961490,-0.07273273,-0.05509567,-0.08370841,-0.02914765,-0.07748692,-0.05958862,-0.10456870,-0.13142539
1966-06-30,-0.01063219,-0.02113397,-0.00794627,-0.03703949,-0.04316294,-0.01984977,-0.00833449,-0.02216528,-0.03354404,-0.00081772,-0.02235385,-0.03091891,-0.00607316,-0.01440605,0.00255777,-0.02750947,-0.01968688,0.01634161,0.00609413,0.03645678,0.00952846,-0.00549029,0.00151621,0.03973461,0.04555733
1966-07-31,-0.00064673,-0.01340298,-0.00776668,-0.02066322,0.00206658,-0.00094275,0.00436694,-0.03882294,-0.02479228,-0.05484183,-0.00449504,-0.01565101,-0.01112478,-0.02328231,-0.04980402,-0.02586785,0.02068037,-0.03038936,-0.02501035,-0.07813294,-0.00881839,0.01507790,-0.04466455,0.00036920,0.01525474
1966-08-31,-0.07900352,-0.05478780,-0.06765665,-0.07871048,-0.08786367,-0.05024142,-0.08690493,-0.07224452,-0.09156960,-0.10262519,-0.07069119,-0.04548081,-0.06426304,-0.07176997,-0.10649928,-0.07677177,-0.07044454,-0.06962586,-0.07024143,-0.05923683,-0.07037630,-0.04964410,-0.07467807,-0.11125896,-0.11831872
1966-09-30,0.04302661,0.04055293,-0.01813449,0.01857215,0.00531463,-0.02126746,-0.00213843,-0.00639051,-0.02472530,-0.03458664,-0.02911430,-0.02708998,0.01684133,0.02376108,-0.04305829,-0.03263603,0.03784827,0.05283260,-0.04144488,-0.07655409,-0.00746688,0.00249351,-0.00903372,-0.01888447,-0.04560007
1966-10-31,0.04309488,0.06863746,0.04077489,0.06532901,-0.00735657,0.06038200,0.06518977,0.07365163,0.03139661,-0.01929181,0.08965334,0.08276680,0.05061853,0.04044036,0.00284382,0.03139348,0.09962462,0.10440354,0.01622355,0.01096573,0.00577239,0.05887406,0.06509882,0.09409917,-0.06037076
1966-11-30,0.08680212,0.03572989,0.09789175,0.04674034,0.09497261,0.01224924,0.01080211,0.00389294,-0.00727535,0.10071069,0.05548448,-0.00873192,-0.00218262,0.00802407,0.04557481,0.01080500,0.02612596,-0.00185288,-0.02698906,0.17489695,-0.02980087,-0.05315728,-0.01714757,-0.03747334,-0.00378523
1966-12-31,0.01552900,0.02609327,0.02739884,-0.00955945,0.01870606,0.00344154,0.00408797,0.03342688,-0.00467197,-0.02860541,0.02197679,0.01374868,-0.00220240,0.01906201,0.00504253,0.00254244,-0.04360687,-0.02106087,0.01689672,-0.01341628,0.04635125,-0.00611912,0.02153511,-0.01380932,0.03832776
1967-01-31,0.07906477,0.05144163,0.04910800,0.04622397,0.06618973,0.12811781,0.05648662,0.03982839,0.05158411,0.04094587,0.13583415,0.10510193,0.05763477,0.04408510,0.09126196,0.14224271,0.11596176,0.01967895,0.06024211,0.08660521,0.10910295,0.13610492,0.16447406,0.13077577,0.08024204
1967-02-28,-0.02476498,0.01706679,0.00006238,-0.00441668,0.00337456,0.01471714,0.01688491,0.00123790,0.04005588,0.06289843,0.03206309,0.01250353,-0.00416620,0.00196422,0.01857856,0.01310673,-0.01509212,-0.02049130,0.03642339,-0.00143969,-0.00408432,-0.02233520,-0.01541008,-0.00365151,0.03017337
1967-03-31,0.02720284,0.07148038,0.03109806,0.04279698,0.05361021,0.06105706,0.07507292,0.03229026,-0.00166132,0.06641029,0.05399557,0.02019312,0.03363343,0.04967943,0.06720864,0.04151350,0.03058093,0.03952962,0.03921421,0.04566267,0.02282635,0.04558980,0.02646041,0.06189198,0.05455145
1967-04-30,0.01390587,0.06131411,0.05470815,0.03756982,0.04640569,-0.00140421,0.02278730,0.01440053,0.00759693,0.06305314,0.04491963,0.01691800,0.00149785,0.03271009,0.06204724,0.09481484,0.04029268,0.01373974,0.01305190,0.09692255,0.07627442,0.00924539,0.06352182,0.08169861,0.07791172
1967-05-31,-0.01977132,-0.04747283,-0.03481649,-0.01924815,-0.06976701,-0.03863679,-0.02660588,-0.05446404,-0.02272018,-0.04828878,-0.05698945,-0.02728850,-0.05350370,-0.00774450,-0.02339297,-0.06330074,-0.05498321,-0.03193411,-0.03754554,-0.04089062,-0.04230399,-0.04281787,-0.03148926,-0.06633553,-0.02959385
1967-06-30,0.01554738,0.00625120,0.02903186,-0.01796993,0.01778795,-0.01358919,0.01532874,0.00360616,-0.00960161,0.01323432,0.02132453,0.03809707,0.01845753,0.03932209,0.07555887,0.01852047,-0.01585283,-0.00341432,0.05305148,0.05979366,0.04564758,0.02795210,0.05312818,0.05849567,0.09825558
1967-07-31,0.08497749,0.05778078,0.04975071,0.07485596,0.06355121,0.04825169,0.04807068,0.04342128,0.07613679,0.07629412,-0.03234634,0.02375064,0.06630660,0.04391716,0.05252231,0.06011026,0.03316586,0.08479051,0.04402237,0.05315327,0.06560669,0.01969708,0.02491703,0.08216198,0.08870968
1967-08-31,-0.01533776,-0.01226817,-0.00535528,-0.00360137,-0.03423722,-0.00090159,0.00438489,-0.01444788,0.00068399,-0.01306897,-0.01276458,-0.00297826,0.01808363,0.01605823,-0.02763331,-0.01222823,0.00099170,-0.01079567,0.02136698,-0.00480951,0.00069806,-0.02263969,-0.00678110,-0.02943469,0.01103944
