date,series,window_start,n_days,ff6_alpha_ann_pct,ff6_t_alpha,ff6_mom_beta,ff6_mkt_beta
1968-01-31,ts_full_ew,1963-07-02,1155,1.99578561,0.46564486,1.32726245,0.34535305
1968-02-29,ts_full_ew,1963-07-02,1174,2.15629216,0.50971229,1.32420072,0.34571788
1968-03-31,ts_full_ew,1963-07-02,1195,1.85492764,0.43849643,1.32458666,0.36084077
1968-04-30,ts_full_ew,1963-07-02,1215,2.71720534,0.64172849,1.31206985,0.37785743
1968-05-31,ts_full_ew,1963-07-02,1237,2.44889052,0.58344945,1.30025585,0.38230922
1968-06-30,ts_full_ew,1963-07-02,1254,2.88399695,0.69728033,1.28960861,0.38351792
1968-07-31,ts_full_ew,1963-08-01,1250,3.11026858,0.73772115,1.28675727,0.37886212
1968-08-31,ts_full_ew,1963-09-03,1246,2.28369494,0.54676588,1.29150559,0.37670401
1968-09-30,ts_full_ew,1963-10-01,1243,2.84316129,0.67414323,1.28632541,0.38598424
1968-10-31,ts_full_ew,1963-11-01,1238,2.63936684,0.61835614,1.29372369,0.38880119
1968-11-30,ts_full_ew,1963-12-02,1237,1.79565235,0.42473977,1.27636441,0.33980876
1968-12-31,ts_full_ew,1964-01-02,1234,2.33486770,0.55342385,1.28819589,0.33938228
1969-01-31,ts_full_ew,1964-02-03,1234,3.45185639,0.82366689,1.27771975,0.34336594
1969-02-28,ts_full_ew,1964-03-02,1233,4.21672066,0.99162141,1.27153091,0.34640968
1969-03-31,ts_full_ew,1964-04-01,1232,5.30930770,1.25465904,1.27234037,0.35690992
1969-04-30,ts_full_ew,1964-05-01,1231,6.17943462,1.43890237,1.27095525,0.36042936
1969-05-31,ts_full_ew,1964-06-01,1232,6.88353007,1.58788275,1.27458413,0.36391453
1969-06-30,ts_full_ew,1964-07-01,1231,8.15778546,1.80156782,1.25724569,0.36494753
1969-07-31,ts_full_ew,1964-08-03,1230,7.74180846,1.58870178,1.13670961,0.42681525
1969-08-31,ts_full_ew,1964-09-01,1230,7.55177249,1.55903982,1.13482097,0.43054858
