series,start,end,n_days,ann_ret_pct,ann_vol_pct,sharpe,max_drawdown_pct,ff6_alpha_ann_pct,ff6_t_alpha,ff6_mom_beta,ff6_r2,excess_of_rf_in_regression
ts_full_ew,1963-07-02,2025-12-30,15729,13.3939,15.1156,0.8861,-55.2027,6.9358,5.0803,0.9098,0.5995,False
RQ1_SQ1_full_ew,1963-07-02,2025-12-30,15729,12.8828,18.0215,0.7149,-61.1170,3.3439,3.9567,-0.3166,0.9074,True
RQ1_SQ2_full_ew,1963-07-02,2025-12-30,15729,13.5725,14.4309,0.9405,-54.6989,3.0517,4.7870,-0.1792,0.9041,True
RQ1_SQ3_full_ew,1963-07-02,2025-12-30,15729,14.2984,13.5715,1.0536,-47.5359,3.4913,5.1775,-0.1193,0.8850,True
RQ1_SQ4_full_ew,1963-07-02,2025-12-30,15729,12.8824,14.4378,0.8923,-47.5540,1.5478,2.3467,-0.0903,0.9007,True
RQ1_SQ5_full_ew,1963-07-02,2025-12-30,15729,14.4380,18.1918,0.7937,-56.6692,3.4165,3.9968,-0.1344,0.9047,True
RQ2_SQ1_full_ew,1963-07-02,2025-12-30,15729,14.3916,19.3061,0.7454,-61.3013,6.1170,6.6231,-0.4807,0.9064,True
RQ2_SQ2_full_ew,1963-07-02,2025-12-30,15729,14.6163,14.2113,1.0285,-50.9729,3.9760,5.9718,-0.2304,0.9007,True
RQ2_SQ3_full_ew,1963-07-02,2025-12-30,15729,14.4020,12.8210,1.1233,-47.7760,2.4335,3.5979,-0.0171,0.8760,True
RQ2_SQ4_full_ew,1963-07-02,2025-12-30,15729,15.8774,14.8948,1.0660,-47.2499,3.0075,3.9323,0.0481,0.8874,True
RQ2_SQ5_full_ew,1963-07-02,2025-12-30,15729,16.9969,19.6892,0.8633,-59.1698,5.3450,5.5665,-0.0273,0.8967,True
RQ3_SQ1_full_ew,1963-07-02,2025-12-30,15729,15.8736,19.1509,0.8289,-61.4014,8.2709,9.0615,-0.5709,0.9008,True
RQ3_SQ2_full_ew,1963-07-02,2025-12-30,15729,16.0194,14.4391,1.1094,-51.5441,4.9093,7.0033,-0.2173,0.8949,True
RQ3_SQ3_full_ew,1963-07-02,2025-12-30,15729,15.7382,13.6568,1.1524,-43.5657,3.1424,4.3346,0.0028,0.8821,True
RQ3_SQ4_full_ew,1963-07-02,2025-12-30,15729,17.1771,14.9216,1.1512,-45.5894,3.6376,4.9549,0.1366,0.8904,True
RQ3_SQ5_full_ew,1963-07-02,2025-12-30,15729,18.9377,20.2695,0.9343,-58.2387,6.2081,7.1270,0.1259,0.8997,True
RQ4_SQ1_full_ew,1963-07-02,2025-12-30,15729,17.4310,18.8120,0.9266,-65.6627,9.9646,9.6654,-0.5945,0.8830,True
RQ4_SQ2_full_ew,1963-07-02,2025-12-30,15729,16.4902,14.7724,1.1163,-50.9438,4.9274,5.7815,-0.1764,0.8710,True
RQ4_SQ3_full_ew,1963-07-02,2025-12-30,15729,17.1639,13.9868,1.2272,-44.8116,4.1350,5.1416,0.0553,0.8776,True
RQ4_SQ4_full_ew,1963-07-02,2025-12-30,15729,18.6992,15.3907,1.2150,-44.8385,4.4319,6.3168,0.2297,0.9001,True
RQ4_SQ5_full_ew,1963-07-02,2025-12-30,15729,21.1463,20.7823,1.0175,-53.6973,7.0736,7.7334,0.3168,0.8950,True
RQ5_SQ1_full_ew,1963-07-02,2025-12-30,15729,20.5239,17.5769,1.1677,-59.4285,12.6578,9.5169,-0.5158,0.8073,True
RQ5_SQ2_full_ew,1963-07-02,2025-12-30,15729,18.3477,14.6817,1.2497,-50.0272,6.9387,6.2225,-0.0655,0.7963,True
RQ5_SQ3_full_ew,1963-07-02,2025-12-30,15729,19.9023,14.7861,1.3460,-45.2902,6.4745,6.7828,0.2221,0.8417,True
RQ5_SQ4_full_ew,1963-07-02,2025-12-30,15729,22.1931,16.9325,1.3107,-46.9269,7.3496,8.3094,0.4184,0.8805,True
RQ5_SQ5_full_ew,1963-07-02,2025-12-30,15729,26.2767,22.6785,1.1587,-64.3633,10.2798,9.1645,0.5932,0.8801,True
ts_full_vw,1963-07-02,2025-12-30,15729,17.8728,22.9042,0.7803,-61.3103,10.4382,4.6457,1.1868,0.4875,False
RQ1_SQ1_full_vw,1963-07-02,2025-12-30,15729,7.9715,20.2471,0.3937,-67.0961,-0.7019,-0.5498,-0.3996,0.7875,True
