date,ts_full_ew,ts_full_vw,ts_top500_ew,ts_top500_vw
1963-07-02,0.01587159,0.02013814,0.01012770,0.01283046
1963-07-03,0.00538358,0.00608536,0.00058250,0.00330928
1963-07-05,0.00114165,0.00516268,-0.00187210,-0.00276248
1963-07-08,-0.00791192,-0.01122732,-0.00306370,-0.00356583
1963-07-09,0.00899649,0.00701942,0.01132185,0.01360334
1963-07-10,-0.00165369,0.00368801,0.00028700,-0.00033708
1963-07-11,0.00086243,-0.00300234,-0.00145835,-0.00933299
1963-07-12,0.00266905,0.00405001,0.00397530,0.00159564
1963-07-15,-0.00559568,-0.00339496,-0.00158550,0.00277248
1963-07-16,-0.00187115,0.00784856,0.00190815,0.00879483
1963-07-17,0.00237692,0.00099259,0.00816395,0.00772492
1963-07-18,0.00586363,0.00608839,0.00349770,0.00402930
1963-07-19,0.00143350,-0.00090662,-0.00202695,-0.00397408
1963-07-22,0.00059958,0.00369830,-0.00041150,0.00342554
1963-07-23,0.00207518,0.00817052,-0.00202480,0.00290575
1963-07-24,0.00352138,0.00290560,0.00487525,0.00519214
1963-07-25,-0.00348438,-0.00953818,0.00189955,-0.00184404
1963-07-26,0.00698812,0.00538220,0.00453880,0.00188741
1963-07-29,0.00422233,0.00447623,0.00990695,0.00513784
1963-07-30,0.00870031,0.00707598,0.00652830,0.00798240
1963-07-31,0.00058219,-0.00881350,-0.00273855,-0.00874801
1963-08-01,0.00257296,0.00676551,0.00790590,0.00352716
1963-08-02,0.00227306,-0.00696616,0.00081800,0.00070871
1963-08-05,0.00039153,0.00366487,-0.00009430,-0.00055114
1963-08-06,0.01180208,0.01853662,0.01106490,0.00888092
1963-08-07,0.00518144,-0.00352510,-0.00172775,-0.00384537
1963-08-08,0.00409309,-0.00421875,-0.00172195,0.00571594
1963-08-09,0.00627879,0.00637406,0.00827880,0.00959607
1963-08-12,-0.00012517,-0.00360510,0.00546325,0.00894051
1963-08-13,0.00480215,0.01475688,0.00914830,0.00821042
1963-08-14,-0.00493421,-0.00385026,-0.00270495,-0.00169463
1963-08-15,0.00347390,0.01069197,0.00618155,0.00838324
1963-08-16,0.00420743,0.00970266,0.00544385,0.00455158
1963-08-19,0.00732837,0.00565800,0.00066700,0.00044973
1963-08-20,0.00315378,-0.00988709,-0.00713590,-0.00505702
1963-08-21,0.00057268,-0.00232607,-0.00270180,-0.00022109
1963-08-22,0.00649836,0.00895563,0.00434540,0.00889628
1963-08-23,0.00380950,0.00631209,0.00287095,0.00382823
1963-08-26,0.00046847,-0.00143472,-0.00132515,0.00495257
1963-08-27,-0.00358334,-0.00636296,-0.00053210,-0.00793421
1963-08-28,0.01739625,0.02020452,0.01280530,0.01211155
1963-08-29,0.00865872,0.00584781,-0.00380495,-0.00741455
1963-08-30,0.00523186,0.01559180,0.00684725,0.00758511
1963-09-03,-0.00040642,-0.00331033,0.00115960,-0.00079616
1963-09-04,0.00115735,-0.00946468,-0.01476090,-0.01479119
1963-09-05,0.00157302,0.00479707,-0.00150380,0.00620153
1963-09-06,-0.01343400,-0.01205277,-0.00987835,-0.00921084
1963-09-09,-0.00325632,-0.00192631,-0.00077500,-0.00232219
1963-09-10,0.00753967,0.01294929,0.00478800,0.00973857
1963-09-11,-0.00004550,-0.00710688,0.00027000,-0.00175859
1963-09-12,0.00519653,-0.00798507,0.00531365,-0.00154058
1963-09-13,0.00059988,-0.00172447,0.00045835,0.00290213
1963-09-16,0.00114091,0.00380996,0.00009060,0.00782739
1963-09-17,0.00113913,0.00959782,0.00233800,0.00857711
1963-09-18,-0.00093084,0.01096431,-0.00351635,-0.00185184
1963-09-19,-0.00022925,0.00524260,0.00995325,0.00849150
1963-09-20,0.00960460,0.00803004,0.01114720,0.01066886
1963-09-23,-0.00487636,0.00150355,0.00576780,0.00489557
1963-09-24,0.00258961,0.01498432,0.00586725,0.01198115
1963-09-25,-0.00786248,-0.00364128,0.00130285,-0.00617354
1963-09-26,-0.00528809,-0.00947014,-0.00609365,-0.01337823
1963-09-27,-0.01467380,-0.00219120,-0.00667675,0.00026971
1963-09-30,0.00669132,0.00612306,-0.00401490,-0.00619161
1963-10-01,-0.00268270,-0.00585350,0.00752655,0.01083598
1963-10-02,-0.00095393,-0.00110581,-0.00568315,-0.00201020
1963-10-03,0.00444508,0.02260850,0.00115265,0.00714909
1963-10-04,-0.00457056,0.00646371,0.00655655,0.00111305
1963-10-07,0.00147703,-0.00255532,-0.00506010,-0.00226652
1963-10-08,-0.00094806,0.02159314,0.00814605,0.01809742
1963-10-09,-0.00471734,-0.00701979,0.00544390,-0.00110928
1963-10-10,0.01113642,0.01314869,0.00310685,0.00388072
1963-10-11,0.00261323,0.00177186,0.01432345,0.00060897
1963-10-14,0.00601957,0.00678868,0.00916755,0.00153332
