date,ts_full_ew,ts_full_vw,ts_top500_ew,ts_top500_vw
1963-07-31,0.05172362,0.05688464,0.05354137,0.05147548
1963-08-31,0.09322230,0.09408053,0.06153134,0.07159941
1963-09-30,-0.01405063,0.01867845,0.00084684,0.01302041
1963-10-31,0.04289513,0.10948811,0.07922974,0.08277435
1963-11-30,0.00269801,-0.00104987,0.04345686,0.02430668
1963-12-31,0.01277194,0.04968593,0.07760273,0.06018562
1964-01-31,-0.01290620,0.01362514,0.07797695,0.03921715
1964-02-29,0.01443616,0.03555209,0.01959929,0.03260696
1964-03-31,-0.01671419,-0.00912284,0.02982669,0.00243003
1964-04-30,-0.00629388,0.00231420,0.01757242,0.01358362
1964-05-31,0.04355397,0.06649362,0.04334620,0.08157382
1964-06-30,0.01089541,-0.00131122,-0.04147649,-0.03014531
1964-07-31,0.03029178,-0.02248558,-0.01841117,-0.06147883
1964-08-31,-0.01399822,-0.03552453,-0.02611280,-0.02307057
1964-09-30,0.01176122,0.08122537,0.00698562,0.05113923
1964-10-31,0.02229038,-0.03223568,-0.00026723,-0.00627196
1964-11-30,0.02591599,-0.01135641,-0.00094389,0.01973227
1964-12-31,-0.02171514,-0.03009569,-0.01014090,-0.02087974
1965-01-31,-0.03475239,-0.03809156,-0.01606902,-0.06270447
1965-02-28,-0.00104530,0.01275568,0.00664529,0.00275373
1965-03-31,0.01838307,0.03511365,-0.00818323,-0.02311464
1965-04-30,0.00779184,-0.00581600,0.01464580,0.01901613
1965-05-31,0.02421028,-0.01505834,-0.02485928,-0.01772131
1965-06-30,-0.05301781,-0.09274779,-0.05348707,-0.07597218
1965-07-31,0.05712763,0.10844215,0.06719366,0.09172462
1965-08-31,0.02711402,0.08998488,0.08022425,0.06222725
1965-09-30,0.08118256,0.05973961,0.04140998,-0.00192935
1965-10-31,0.05623399,0.11541272,0.06795576,0.06977433
1965-11-30,0.10020935,0.14076923,0.13391682,0.15419046
1965-12-31,-0.02769710,-0.02281393,-0.02372854,-0.02443359
1966-01-31,0.02444638,0.11439166,0.10581697,0.12779393
1966-02-28,0.08440404,0.11408539,0.10299628,0.09500581
1966-03-31,0.02706095,0.03561181,0.06361853,0.04453014
1966-04-30,0.12153366,0.03559993,0.02916692,0.02605772
1966-05-31,-0.09604945,-0.13031010,-0.10638480,-0.10935765
